head	relation	tail
element:4a182120e039	HAS_FUNCTION	function:80728b3fe771
function:80728b3fe771	HAS_MODE	mode:8555e3935937
mode:8555e3935937	LEADS_TO	effect:2413519162d9
cause:86b72ebccfc3	CAUSES	mode:8555e3935937
cause:86b72ebccfc3	CAUSES_EFFECT	effect:2413519162d9
cause:d3bded52ffe9	CAUSES	mode:8555e3935937
cause:d3bded52ffe9	CAUSES_EFFECT	effect:2413519162d9
mode:3d21e9c32f85	LEADS_TO	effect:69344d418980
cause:a4bae53829bb	BELONGS_TO	group:cause_regroup_0005
mode:f0f5863822d8	LEADS_TO	effect:0e775968593f
cause:c1f27c562cb6	CAUSES	mode:f0f5863822d8
cause:c1f27c562cb6	CAUSES_EFFECT	effect:0e775968593f
mode:e9e132dd05de	LEADS_TO	effect:9f6c59a53389
cause:5dc7fce9fc5c	CAUSES	mode:e9e132dd05de
cause:5dc7fce9fc5c	CAUSES_EFFECT	effect:9f6c59a53389
cause:9443cd87e7b7	CAUSES	mode:e9e132dd05de
cause:9443cd87e7b7	CAUSES_EFFECT	effect:9f6c59a53389
mode:c125c2210bb8	LEADS_TO	effect:2bf80357ba39
cause:5d890f1eefee	CAUSES	mode:c125c2210bb8
cause:5d890f1eefee	CAUSES	mode:512346c248eb
cause:5d890f1eefee	CAUSES_EFFECT	effect:2bf80357ba39
mode:512346c248eb	LEADS_TO	effect:2bf80357ba39
mode:42651fda68b6	LEADS_TO	effect:3fe6913ba8a1
cause:b13762d19a95	CAUSES	mode:42651fda68b6
cause:b13762d19a95	CAUSES_EFFECT	effect:3fe6913ba8a1
mode:3c94416dc6d2	BELONGS_TO	group:mode_group_0118
cause:61669e4d2d3a	CAUSES	group:mode_group_0118
cause:61669e4d2d3a	CAUSES_EFFECT	effect:63fe0049a6bd
mode:2c341fa43a61	BELONGS_TO	group:mode_group_0183
cause:3308de181574	CAUSES	group:mode_group_0183
cause:3308de181574	CAUSES_EFFECT	effect:901cf7615ba3
mode:6223480ce141	BELONGS_TO	group:mode_group_0183
cause:9c6ecfe972a9	CAUSES	group:mode_group_0183
cause:9c6ecfe972a9	CAUSES_EFFECT	effect:901cf7615ba3
mode:9d45eea9e6cb	LEADS_TO	effect:f435b22c57f2
cause:9dc9bacba9ed	CAUSES	mode:9d45eea9e6cb
cause:9dc9bacba9ed	CAUSES_EFFECT	effect:f435b22c57f2
element:458a0d588bfc	HAS_FUNCTION	function:24dc76f4d1fc
element:458a0d588bfc	HAS_FUNCTION	function:a50e5696e928
element:458a0d588bfc	HAS_FUNCTION	function:2686af6df93b
function:24dc76f4d1fc	HAS_MODE	mode:0129d9d06ad4
function:24dc76f4d1fc	HAS_MODE	mode:8bff04270d10
function:24dc76f4d1fc	HAS_MODE	group:mode_group_0185
mode:3eb684cc0306	BELONGS_TO	group:mode_group_0185
cause:b78defb2de87	CAUSES	group:mode_group_0185
cause:b78defb2de87	CAUSES_EFFECT	effect:0bc16dc9d7df
cause:b78defb2de87	CAUSES_EFFECT	effect:eb47801dafbc
cause:b78defb2de87	CAUSES_EFFECT	effect:d536cafe7a44
mode:0129d9d06ad4	LEADS_TO	effect:0bc16dc9d7df
mode:0129d9d06ad4	LEADS_TO	effect:cbe7dfa6ac90
mode:0129d9d06ad4	LEADS_TO	effect:a06701826a15
cause:5fd5e6ea8f43	CAUSES	mode:0129d9d06ad4
cause:5fd5e6ea8f43	CAUSES	group:mode_group_0185
cause:5fd5e6ea8f43	CAUSES	group:mode_group_0188
cause:5fd5e6ea8f43	CAUSES_EFFECT	effect:0bc16dc9d7df
cause:5fd5e6ea8f43	CAUSES_EFFECT	effect:cbe7dfa6ac90
cause:5fd5e6ea8f43	CAUSES_EFFECT	effect:a06701826a15
cause:5fd5e6ea8f43	CAUSES_EFFECT	effect:d6bb97a90c7b
cause:5fd5e6ea8f43	CAUSES_EFFECT	effect:40edb0b66dd5
function:a50e5696e928	HAS_MODE	mode:54d334d6306a
function:a50e5696e928	HAS_MODE	group:mode_group_0185
function:a50e5696e928	HAS_MODE	group:mode_group_0188
mode:54d334d6306a	LEADS_TO	effect:d6bb97a90c7b
cause:39998df8bb30	CAUSES	mode:54d334d6306a
cause:39998df8bb30	CAUSES	group:mode_group_0188
cause:39998df8bb30	CAUSES_EFFECT	effect:d6bb97a90c7b
cause:39998df8bb30	CAUSES_EFFECT	effect:eb47801dafbc
mode:4fc3dda98d62	BELONGS_TO	group:mode_group_0188
element:a5d8b915ec76	HAS_FUNCTION	function:24dc76f4d1fc
element:a5d8b915ec76	HAS_FUNCTION	function:a50e5696e928
element:a5d8b915ec76	HAS_FUNCTION	function:3ba4ed3b6f32
mode:8bff04270d10	LEADS_TO	effect:a06701826a15
cause:9cacbf86a837	CAUSES	mode:8bff04270d10
cause:9cacbf86a837	CAUSES_EFFECT	effect:a06701826a15
mode:e8e15cc2cb06	BELONGS_TO	group:mode_group_0185
function:3ba4ed3b6f32	HAS_MODE	group:mode_group_0188
mode:bf7ebbfbd3be	LEADS_TO	group:effect_group_0003
cause:33062434e643	CAUSES	mode:bf7ebbfbd3be
cause:33062434e643	CAUSES_EFFECT	group:effect_group_0003
cause:02296868be0f	CAUSES	mode:bf7ebbfbd3be
cause:02296868be0f	CAUSES_EFFECT	group:effect_group_0003
cause:b1be7d0f2dda	CAUSES	mode:bf7ebbfbd3be
cause:b1be7d0f2dda	CAUSES_EFFECT	group:effect_group_0003
mode:944719267e68	LEADS_TO	group:effect_group_0003
cause:ff9abd961188	CAUSES	mode:944719267e68
cause:ff9abd961188	CAUSES_EFFECT	group:effect_group_0003
mode:9769cb40d5cf	BELONGS_TO	group:mode_group_0192
cause:2e6a66fac09a	CAUSES	group:mode_group_0192
cause:2e6a66fac09a	CAUSES_EFFECT	group:effect_group_0003
mode:f16cff5ecf9f	BELONGS_TO	group:mode_group_0192
cause:77345cf1701c	CAUSES	group:mode_group_0192
cause:77345cf1701c	CAUSES_EFFECT	group:effect_group_0032
mode:d4be5e9eef29	LEADS_TO	group:effect_group_0003
cause:585c27531fc4	CAUSES	mode:d4be5e9eef29
cause:585c27531fc4	CAUSES_EFFECT	group:effect_group_0003
mode:a0960907b02b	BELONGS_TO	group:mode_group_0194
cause:cfad026de2fb	BELONGS_TO	group:cause_group_0245
cause:c6f4c161b7c1	BELONGS_TO	group:cause_group_0245
mode:d5c2f1885a20	BELONGS_TO	group:mode_group_0194
cause:e5852127e61f	CAUSES	group:mode_group_0194
cause:e5852127e61f	CAUSES_EFFECT	group:effect_group_0032
mode:d0d17243fe92	BELONGS_TO	group:mode_group_0194
cause:d8c006753e51	CAUSES	group:mode_group_0194
cause:d8c006753e51	CAUSES_EFFECT	group:effect_group_0032
mode:0e983ff3e69f	LEADS_TO	effect:eca13056359f
cause:d81df39dbf05	CAUSES	mode:0e983ff3e69f
cause:d81df39dbf05	CAUSES_EFFECT	effect:eca13056359f
mode:d6494a23fcab	LEADS_TO	effect:eca13056359f
cause:8d76ac713ecb	BELONGS_TO	group:cause_group_0043
mode:688cfea1958f	BELONGS_TO	group:mode_group_0048
cause:248891cccdee	CAUSES	group:mode_group_0048
cause:248891cccdee	CAUSES_EFFECT	effect:eca13056359f
mode:4787fc6d2b02	BELONGS_TO	group:mode_group_0049
cause:a93a627952f9	BELONGS_TO	group:cause_regroup_0015
cause:6553488ea0d9	BELONGS_TO	group:cause_regroup_0003
mode:a6aa35748c75	BELONGS_TO	group:mode_group_0049
cause:daff00813234	BELONGS_TO	group:cause_regroup_0015
mode:1e1bdf72c31e	LEADS_TO	effect:eca13056359f
cause:66ae7c7113c9	CAUSES	mode:1e1bdf72c31e
cause:66ae7c7113c9	CAUSES	mode:42ee22a26da8
cause:66ae7c7113c9	CAUSES_EFFECT	effect:eca13056359f
cause:f07425549da9	CAUSES	mode:1e1bdf72c31e
cause:f07425549da9	CAUSES	mode:42ee22a26da8
cause:f07425549da9	CAUSES	mode:fe37a11b1cb1
cause:f07425549da9	CAUSES_EFFECT	effect:eca13056359f
cause:f07425549da9	CAUSES_EFFECT	effect:42c94cc4ff75
mode:21b6fae8fa4a	BELONGS_TO	group:mode_group_0051
cause:936e2fa10b34	CAUSES	group:mode_group_0051
cause:936e2fa10b34	CAUSES_EFFECT	group:effect_group_0003
mode:69ccaec4e476	LEADS_TO	effect:61373bef8d18
mode:69ccaec4e476	LEADS_TO	effect:a69da2047dcb
cause:abcb24ece17d	BELONGS_TO	group:cause_group_0062
cause:add8402936f8	BELONGS_TO	group:cause_group_0062
cause:cb9ccedbbc75	CAUSES	mode:69ccaec4e476
cause:cb9ccedbbc75	CAUSES_EFFECT	effect:61373bef8d18
cause:cb9ccedbbc75	CAUSES_EFFECT	effect:a69da2047dcb
mode:b2a14c6a1b92	LEADS_TO	effect:71cc72d03c20
cause:992dbab41da4	CAUSES	mode:b2a14c6a1b92
cause:992dbab41da4	CAUSES_EFFECT	effect:71cc72d03c20
cause:0ed3349c3593	CAUSES	mode:b2a14c6a1b92
cause:0ed3349c3593	CAUSES_EFFECT	effect:71cc72d03c20
cause:065cd2053a77	CAUSES	mode:b2a14c6a1b92
cause:065cd2053a77	CAUSES_EFFECT	effect:71cc72d03c20
mode:42ee22a26da8	LEADS_TO	effect:eca13056359f
cause:dd2c97297088	BELONGS_TO	group:cause_regroup_0004
mode:cac305d864aa	BELONGS_TO	group:mode_group_0200
cause:fe0d4adcad42	CAUSES	group:mode_group_0200
cause:fe0d4adcad42	CAUSES_EFFECT	group:effect_group_0032
mode:8edd7857c222	BELONGS_TO	group:mode_regroup_0021
cause:dc387353b188	CAUSES	group:mode_regroup_0021
cause:dc387353b188	CAUSES_EFFECT	effect:34bd7a1b82ea
cause:1f1b453941fa	CAUSES	group:mode_regroup_0021
cause:1f1b453941fa	CAUSES_EFFECT	effect:34bd7a1b82ea
cause:b75a636b4fea	CAUSES	mode:2c26b1d33752
cause:b75a636b4fea	CAUSES_EFFECT	group:effect_group_0034
effect:a54b0fe3d7cc	BELONGS_TO	group:effect_group_0034
cause:21afbc0546ad	CAUSES	mode:2c26b1d33752
cause:21afbc0546ad	CAUSES_EFFECT	group:effect_group_0034
mode:2c6c83015220	BELONGS_TO	group:mode_group_0202
cause:e204898295a0	CAUSES	group:mode_group_0202
cause:e204898295a0	CAUSES_EFFECT	effect:83692d19a264
mode:cc392d31e071	BELONGS_TO	group:mode_group_0202
mode:af9ecd7a55ab	LEADS_TO	effect:c62590cd3ae0
cause:b9380e028421	CAUSES	mode:af9ecd7a55ab
cause:b9380e028421	CAUSES_EFFECT	effect:c62590cd3ae0
mode:fe37a11b1cb1	LEADS_TO	effect:42c94cc4ff75
mode:ef4e16b4ee01	LEADS_TO	effect:0ecd120e11d7
cause:53375eea658b	CAUSES	mode:ef4e16b4ee01
cause:53375eea658b	CAUSES_EFFECT	effect:0ecd120e11d7
mode:8c39d76569dc	LEADS_TO	effect:283b4819706f
mode:8c39d76569dc	LEADS_TO	group:effect_group_0087
cause:bcecd383a146	CAUSES	mode:8c39d76569dc
cause:bcecd383a146	CAUSES	mode:d50533c3d99e
cause:bcecd383a146	CAUSES_EFFECT	effect:283b4819706f
cause:bcecd383a146	CAUSES_EFFECT	group:effect_group_0087
effect:ea43554db733	BELONGS_TO	group:effect_group_0087
mode:d50533c3d99e	LEADS_TO	effect:283b4819706f
mode:d50533c3d99e	LEADS_TO	effect:912c6c6a71ff
mode:46f7623ed714	BELONGS_TO	group:mode_regroup_0019
cause:db1fa8f26925	CAUSES	group:mode_regroup_0019
cause:db1fa8f26925	CAUSES_EFFECT	effect:37dea9eff5c7
mode:36cce192de71	LEADS_TO	effect:1edeb9cf1cdc
cause:67dfb9f2bd74	BELONGS_TO	group:cause_group_0266
cause:a7c9dc0b1246	BELONGS_TO	group:cause_group_0059
effect:8eb26f44cc6b	BELONGS_TO	group:effect_regroup_0021
effect:5ed03ad42809	BELONGS_TO	group:effect_group_0142
effect:6b51931daca0	BELONGS_TO	group:effect_regroup_0016
mode:445904e8a03c	LEADS_TO	group:effect_regroup_0002
mode:445904e8a03c	LEADS_TO	group:effect_regroup_0021
cause:d14f34c9a1f9	CAUSES	mode:445904e8a03c
cause:d14f34c9a1f9	CAUSES_EFFECT	group:effect_regroup_0021
cause:ad2359de025e	CAUSES	mode:445904e8a03c
cause:ad2359de025e	CAUSES_EFFECT	group:effect_regroup_0002
cause:83f497466815	BELONGS_TO	group:cause_group_0059
cause:44bd7fdff224	BELONGS_TO	group:cause_group_0054
mode:a96b33ea2ba2	LEADS_TO	effect:e717560821a9
mode:a96b33ea2ba2	LEADS_TO	group:effect_group_0142
cause:df806c1d6b88	CAUSES	mode:a96b33ea2ba2
cause:df806c1d6b88	CAUSES	mode:4a1ef5e43463
cause:df806c1d6b88	CAUSES_EFFECT	effect:37dea9eff5c7
cause:df806c1d6b88	CAUSES_EFFECT	group:effect_group_0142
cause:7d06d0ca0392	CAUSES	mode:a96b33ea2ba2
cause:7d06d0ca0392	CAUSES_EFFECT	effect:e717560821a9
mode:994d58c128d8	LEADS_TO	effect:78a02677c585
cause:3cfda5c4309d	CAUSES	mode:994d58c128d8
cause:3cfda5c4309d	CAUSES_EFFECT	effect:78a02677c585
mode:4b1df8bdb7c8	LEADS_TO	effect:b523d20bbebb
mode:4b1df8bdb7c8	LEADS_TO	group:effect_group_0087
cause:59df5baa29a8	CAUSES	mode:4b1df8bdb7c8
cause:59df5baa29a8	CAUSES_EFFECT	effect:b523d20bbebb
cause:a1f03b1362ae	CAUSES	mode:4b1df8bdb7c8
cause:a1f03b1362ae	CAUSES_EFFECT	group:effect_group_0087
mode:20785632fb24	LEADS_TO	group:effect_group_0142
cause:b11ce7d0a417	CAUSES	mode:20785632fb24
cause:b11ce7d0a417	CAUSES_EFFECT	group:effect_group_0142
effect:2b9f6a738aba	BELONGS_TO	group:effect_group_0142
mode:aa6ddc47a94e	LEADS_TO	effect:b3a1b98ea7e1
cause:a96b33ea2ba2	CAUSES	mode:aa6ddc47a94e
cause:a96b33ea2ba2	CAUSES_EFFECT	effect:b3a1b98ea7e1
cause:ca6fa813ad5a	BELONGS_TO	group:cause_group_0059
mode:5a0ae0e9787e	LEADS_TO	group:effect_group_0003
cause:f1fac75a99e2	CAUSES	mode:5a0ae0e9787e
cause:f1fac75a99e2	CAUSES_EFFECT	group:effect_group_0003
effect:282baf65fa2b	BELONGS_TO	group:effect_group_0003
mode:39265c89e00a	BELONGS_TO	group:mode_regroup_0023
cause:8ca3e3bf1931	BELONGS_TO	group:cause_regroup_0017
mode:895811469fe1	BELONGS_TO	group:mode_group_0101
cause:0e8cccf3b1bb	BELONGS_TO	group:cause_group_0278
effect:c60dc029636a	BELONGS_TO	group:effect_group_0003
mode:c7c90840e19a	BELONGS_TO	group:mode_regroup_0024
cause:0609eb6e5a69	BELONGS_TO	group:cause_group_0279
effect:b10bea28166b	BELONGS_TO	group:effect_regroup_0002
mode:dc880d309a70	BELONGS_TO	group:mode_group_0056
cause:b744b2d0520a	CAUSES	group:mode_group_0056
cause:b744b2d0520a	CAUSES_EFFECT	group:effect_group_0003
mode:3917f5f97193	LEADS_TO	effect:5b99460e3b43
cause:4c246cf015cf	CAUSES	mode:3917f5f97193
cause:4c246cf015cf	CAUSES_EFFECT	effect:5b99460e3b43
mode:a29ee4303cf6	BELONGS_TO	group:mode_group_0217
cause:ca179e48599a	CAUSES	group:mode_group_0217
cause:ca179e48599a	CAUSES_EFFECT	effect:0e344f895e52
mode:3ddeca121b42	LEADS_TO	effect:69344d418980
cause:9a10cc5a8e43	BELONGS_TO	group:cause_group_0054
cause:c5458f360672	CAUSES	mode:3ddeca121b42
cause:c5458f360672	CAUSES_EFFECT	effect:69344d418980
mode:f29bae383137	LEADS_TO	effect:79f308a33c0c
cause:cbee7155293d	CAUSES	mode:f29bae383137
cause:cbee7155293d	CAUSES_EFFECT	effect:79f308a33c0c
element:72bafdec0fc3	HAS_FUNCTION	function:824ee32982b0
element:72bafdec0fc3	HAS_FUNCTION	function:08b4ad57ece4
function:824ee32982b0	HAS_MODE	group:mode_group_0002
mode:db315317f5bd	BELONGS_TO	group:mode_group_0002
cause:b734f13d9b0d	CAUSES	mode:74edbe1b9015
cause:b734f13d9b0d	CAUSES	group:mode_group_0002
cause:b734f13d9b0d	CAUSES_EFFECT	effect:bf4d3c938549
cause:b734f13d9b0d	CAUSES_EFFECT	group:effect_group_0091
effect:49f965574280	BELONGS_TO	group:effect_group_0091
function:08b4ad57ece4	HAS_MODE	mode:74edbe1b9015
mode:74edbe1b9015	LEADS_TO	effect:bf4d3c938549
cause:f607d20cec55	CAUSES	mode:74edbe1b9015
cause:f607d20cec55	CAUSES_EFFECT	effect:bf4d3c938549
cause:5a03d58dc728	BELONGS_TO	group:cause_group_0266
cause:c46b9d2f3856	BELONGS_TO	group:cause_group_0059
mode:4a1ef5e43463	LEADS_TO	effect:37dea9eff5c7
mode:f0c8109da52d	LEADS_TO	effect:e717560821a9
cause:66fe8e077e58	CAUSES	mode:f0c8109da52d
cause:66fe8e077e58	CAUSES_EFFECT	effect:e717560821a9
effect:aae1bf416e13	BELONGS_TO	group:effect_regroup_0007
cause:b158a3ff4217	BELONGS_TO	group:cause_group_0278
effect:16eb1b2691da	BELONGS_TO	group:effect_regroup_0007
mode:bee8845d7684	BELONGS_TO	group:mode_regroup_0024
cause:0289b880f175	BELONGS_TO	group:cause_group_0279
mode:20b7413f56c7	BELONGS_TO	group:mode_group_0056
effect:9cbbee88f4eb	BELONGS_TO	group:effect_group_0150
mode:0ee08f564a17	LEADS_TO	group:effect_regroup_0002
cause:c4d3f032d610	CAUSES	mode:0ee08f564a17
cause:c4d3f032d610	CAUSES_EFFECT	group:effect_regroup_0002
mode:867c32ba5ee6	LEADS_TO	group:effect_group_0151
cause:aeae715459f9	BELONGS_TO	group:cause_regroup_0018
effect:dddcf5474a75	BELONGS_TO	group:effect_group_0151
mode:205719d2ac1d	BELONGS_TO	group:mode_group_0225
cause:f5c64053ceec	CAUSES	group:mode_group_0225
cause:f5c64053ceec	CAUSES_EFFECT	effect:6ff50d50d2de
mode:af8c04c5a407	BELONGS_TO	group:mode_group_0225
cause:56dd438f3ab0	CAUSES	group:mode_group_0225
cause:56dd438f3ab0	CAUSES_EFFECT	group:effect_regroup_0002
effect:420710cd5c2f	BELONGS_TO	group:effect_regroup_0002
mode:2e3f998dacef	LEADS_TO	group:effect_regroup_0002
cause:988cc76dc0fc	CAUSES	mode:2e3f998dacef
cause:988cc76dc0fc	CAUSES_EFFECT	group:effect_regroup_0002
mode:a1277c9f5034	BELONGS_TO	group:mode_group_0227
cause:431d1b3ba21e	CAUSES	group:mode_group_0227
cause:431d1b3ba21e	CAUSES_EFFECT	group:effect_regroup_0002
mode:6e765e95c355	LEADS_TO	group:effect_regroup_0016
cause:e9246a4479fe	CAUSES	mode:6e765e95c355
cause:e9246a4479fe	CAUSES_EFFECT	group:effect_regroup_0016
mode:dc028486ee65	LEADS_TO	effect:969cd8339b23
cause:9adb14b005da	BELONGS_TO	group:cause_group_0158
mode:9ce3d3950065	BELONGS_TO	group:mode_group_0039
cause:7eae31b6efbe	BELONGS_TO	group:cause_group_0288
mode:1c906892e42f	BELONGS_TO	group:mode_group_0230
cause:6f049dbc2a5e	BELONGS_TO	group:cause_regroup_0018
mode:8e6569f333e3	BELONGS_TO	group:mode_group_0230
cause:d2b0299b4ad7	BELONGS_TO	group:cause_group_0294
mode:1a3e0cba0976	BELONGS_TO	group:mode_regroup_0023
cause:445eec13e059	CAUSES	group:mode_regroup_0023
cause:445eec13e059	CAUSES_EFFECT	group:effect_group_0154
effect:899d562f1466	BELONGS_TO	group:effect_group_0154
cause:2de5f54cfbcd	CAUSES	group:mode_regroup_0023
cause:2de5f54cfbcd	CAUSES_EFFECT	group:effect_group_0003
mode:2dd249bfb986	LEADS_TO	effect:679a69349833
cause:553b2ddd9533	BELONGS_TO	group:cause_group_0043
mode:887993a43783	BELONGS_TO	group:mode_group_0232
cause:49b62f9aa982	CAUSES	group:mode_group_0232
cause:49b62f9aa982	CAUSES_EFFECT	effect:da2407a8b844
mode:474d5d978674	BELONGS_TO	group:mode_group_0020
cause:0c73daa1b186	CAUSES	group:mode_group_0020
cause:0c73daa1b186	CAUSES_EFFECT	group:effect_group_0156
effect:18537d48808b	BELONGS_TO	group:effect_group_0156
cause:85a825521086	CAUSES	group:mode_group_0020
cause:85a825521086	CAUSES_EFFECT	group:effect_group_0156
cause:adc9cff00b49	CAUSES	group:mode_group_0020
cause:adc9cff00b49	CAUSES_EFFECT	group:effect_group_0156
mode:3ddb62c0520e	LEADS_TO	group:effect_group_0156
cause:6bb5c8b05773	CAUSES	mode:3ddb62c0520e
cause:6bb5c8b05773	CAUSES	mode:7967db1388f1
cause:6bb5c8b05773	CAUSES_EFFECT	effect:298f22c8c440
cause:6bb5c8b05773	CAUSES_EFFECT	group:effect_group_0156
effect:b1bbe3941001	BELONGS_TO	group:effect_group_0156
cause:c67c68d1a389	BELONGS_TO	group:cause_group_0301
cause:0741352ea61e	CAUSES	mode:3ddb62c0520e
cause:0741352ea61e	CAUSES_EFFECT	group:effect_group_0156
mode:7967db1388f1	LEADS_TO	effect:298f22c8c440
mode:19c649be8fdb	LEADS_TO	effect:b0906c2f3eb3
cause:05cba1851746	BELONGS_TO	group:cause_regroup_0003
mode:35128b121a12	LEADS_TO	group:effect_regroup_0018
mode:35128b121a12	LEADS_TO	group:effect_regroup_0020
cause:55aa5a2cecd3	CAUSES	mode:35128b121a12
cause:55aa5a2cecd3	CAUSES_EFFECT	group:effect_regroup_0018
cause:55aa5a2cecd3	CAUSES_EFFECT	group:effect_regroup_0020
effect:7fa605be8717	BELONGS_TO	group:effect_regroup_0020
effect:8871072da176	BELONGS_TO	group:effect_regroup_0018
mode:2ff5b3ebc911	LEADS_TO	effect:d54bef97a4d1
cause:4ec2b4a9a5a1	CAUSES	mode:2ff5b3ebc911
cause:4ec2b4a9a5a1	CAUSES_EFFECT	effect:d54bef97a4d1
mode:77d1771a95bd	LEADS_TO	effect:6832d12e8ecf
cause:c90b1198f689	CAUSES	mode:77d1771a95bd
cause:c90b1198f689	CAUSES	mode:7d652d9fbbe6
cause:c90b1198f689	CAUSES_EFFECT	effect:6832d12e8ecf
cause:c90b1198f689	CAUSES_EFFECT	effect:3fc97ce7e343
mode:7d652d9fbbe6	LEADS_TO	effect:3fc97ce7e343
mode:d132a1ee4252	LEADS_TO	effect:fc4952f4fb43
mode:d132a1ee4252	LEADS_TO	effect:3fb04154d9c0
cause:8976b251a579	CAUSES	mode:d132a1ee4252
cause:8976b251a579	CAUSES_EFFECT	effect:fc4952f4fb43
cause:8976b251a579	CAUSES_EFFECT	effect:3fb04154d9c0
mode:27fd50c88bf6	BELONGS_TO	group:mode_group_0239
cause:2ef75fd36224	CAUSES	group:mode_group_0239
cause:2ef75fd36224	CAUSES_EFFECT	effect:eb3b72714761
mode:319f7efd58d4	LEADS_TO	group:effect_group_0032
cause:8b07994a9c8d	CAUSES	mode:319f7efd58d4
cause:8b07994a9c8d	CAUSES_EFFECT	group:effect_group_0032
effect:a09f81abf418	BELONGS_TO	group:effect_group_0032
mode:8f68a9163e6b	BELONGS_TO	group:mode_group_0241
cause:4fd29b49f303	CAUSES	group:mode_group_0241
cause:4fd29b49f303	CAUSES_EFFECT	group:effect_group_0164
effect:1dc648cadd56	BELONGS_TO	group:effect_group_0164
mode:5a6846c09182	BELONGS_TO	group:mode_group_0241
cause:696c01b939cb	CAUSES	group:mode_group_0241
cause:696c01b939cb	CAUSES_EFFECT	group:effect_group_0164
mode:3209374f7386	LEADS_TO	group:effect_group_0164
cause:7e26b146e6ec	CAUSES	mode:3209374f7386
cause:7e26b146e6ec	CAUSES_EFFECT	group:effect_group_0164
effect:2c017de54753	BELONGS_TO	group:effect_group_0164
mode:6f103bb03816	LEADS_TO	effect:af6580c2eb5f
cause:a2b968114fe1	CAUSES	mode:6f103bb03816
cause:a2b968114fe1	CAUSES_EFFECT	effect:af6580c2eb5f
mode:21e3f46c4cd2	LEADS_TO	effect:9e5b4f0eda34
cause:60477c3b7ac5	CAUSES	mode:21e3f46c4cd2
cause:60477c3b7ac5	CAUSES_EFFECT	effect:9e5b4f0eda34
element:b320f0ec5d95	HAS_FUNCTION	function:a7c8480e3f6c
function:a7c8480e3f6c	HAS_MODE	mode:e87a2272339c
mode:e87a2272339c	LEADS_TO	group:effect_regroup_0031
cause:c738f86f4f62	BELONGS_TO	group:cause_regroup_0014
effect:160ad2595ea2	BELONGS_TO	group:effect_regroup_0031
element:c7b3295b2f1c	HAS_FUNCTION	function:742b4822f963
element:c7b3295b2f1c	HAS_FUNCTION	function:b33538179f56
function:742b4822f963	HAS_MODE	mode:af1e37a9d032
function:742b4822f963	HAS_MODE	mode:683de8d7e651
function:742b4822f963	HAS_MODE	group:mode_regroup_0027
mode:9729c2992ed6	BELONGS_TO	group:mode_regroup_0027
cause:4dae8dc845f3	CAUSES	group:mode_regroup_0027
cause:4dae8dc845f3	CAUSES_EFFECT	effect:b5152bdb7f0a
mode:af1e37a9d032	LEADS_TO	group:effect_regroup_0031
cause:3d63172a065c	CAUSES	mode:af1e37a9d032
cause:3d63172a065c	CAUSES_EFFECT	group:effect_regroup_0031
effect:71acd740945b	BELONGS_TO	group:effect_regroup_0031
mode:683de8d7e651	LEADS_TO	effect:bd052a0de6ed
mode:683de8d7e651	LEADS_TO	effect:b44bef50464e
cause:e337ef9528b3	CAUSES	mode:683de8d7e651
cause:e337ef9528b3	CAUSES_EFFECT	effect:bd052a0de6ed
cause:53bf935cbd65	CAUSES	mode:683de8d7e651
cause:53bf935cbd65	CAUSES_EFFECT	effect:b44bef50464e
function:b33538179f56	HAS_MODE	mode:0ec468e2aaad
function:b33538179f56	HAS_MODE	mode:62bd3205848e
function:b33538179f56	HAS_MODE	group:mode_regroup_0028
mode:0ec468e2aaad	LEADS_TO	effect:b44bef50464e
cause:9f890ad580b1	CAUSES	mode:0ec468e2aaad
cause:9f890ad580b1	CAUSES_EFFECT	effect:b44bef50464e
cause:cb309643642e	CAUSES	mode:0ec468e2aaad
cause:cb309643642e	CAUSES_EFFECT	effect:b44bef50464e
mode:0c3ea7fecc3b	BELONGS_TO	group:mode_regroup_0028
cause:c3918fe51544	CAUSES	group:mode_regroup_0028
cause:c3918fe51544	CAUSES_EFFECT	group:effect_regroup_0031
mode:62bd3205848e	LEADS_TO	group:effect_regroup_0031
cause:3f07ab66cfb4	BELONGS_TO	group:cause_regroup_0005
mode:dc398ece0fc4	LEADS_TO	effect:de56002f5d3e
mode:dc398ece0fc4	LEADS_TO	group:effect_group_0003
mode:dc398ece0fc4	LEADS_TO	group:effect_group_0154
cause:e7677b87ce8b	BELONGS_TO	group:cause_group_0072
effect:2a94cbdc0533	BELONGS_TO	group:effect_group_0154
cause:e20115096c49	BELONGS_TO	group:cause_group_0320
cause:e802f00dc6b8	BELONGS_TO	group:cause_group_0321
mode:4b32dbd8b9f2	LEADS_TO	effect:de56002f5d3e
mode:4b32dbd8b9f2	LEADS_TO	group:effect_group_0003
mode:050ea9f0fe81	BELONGS_TO	group:mode_group_0253
cause:ed5fb52a4eb1	BELONGS_TO	group:cause_group_0322
mode:0ae70a92a8f4	BELONGS_TO	group:mode_group_0253
cause:887ba5f3eaf1	BELONGS_TO	group:cause_group_0322
cause:ff59ff7ad0db	BELONGS_TO	group:cause_group_0323
mode:c7ffbeb68a98	BELONGS_TO	group:mode_group_0254
cause:bc18bb634e24	CAUSES	group:mode_group_0083
cause:bc18bb634e24	CAUSES	group:mode_group_0254
cause:bc18bb634e24	CAUSES_EFFECT	group:effect_group_0172
effect:f40089304683	BELONGS_TO	group:effect_group_0172
